Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Orangutan gene stable ID,Orangutan gene name,Last common ancestor with Orangutan,Orangutan homology type,%id. target Orangutan gene identical to query gene,%id. query gene identical to target Orangutan gene,Orangutan Gene-order conservation score,Orangutan Whole-genome alignment coverage,"Orangutan orthology confidence [0 low, 1 high]"
ENSG00000004838,ENSG00000004838.14,ENST00000490675,ENST00000490675.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000231749,ENST00000231749.8,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000360165,ENST00000360165.7,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000475688,ENST00000475688.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000442887,ENST00000442887.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000443080,ENST00000443080.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000478269,ENST00000478269.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000431869,ENST00000431869.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000468182,ENST00000468182.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579828,ENST00000579828.5,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000262442,ENST00000262442.9,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579406,ENST00000579406.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000454412,ENST00000454412.6,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579602,ENST00000579602.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579813,ENST00000579813.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000585197,ENST00000585197.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000583192,ENST00000583192.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000584663,ENST00000584663.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000578834,ENST00000578834.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579703,ENST00000579703.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000580255,ENST00000580255.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000608377,ENST00000608377.5,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000396001,ENST00000396001.6,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000581682,ENST00000581682.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000262304,ENST00000262304.9,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000423118,ENST00000423118.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000472577,ENST00000472577.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564313,ENST00000564313.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000561668,ENST00000561668.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000487932,ENST00000487932.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000485120,ENST00000485120.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000562425,ENST00000562425.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000567355,ENST00000567355.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000472659,ENST00000472659.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000568796,ENST00000568796.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000570253,ENST00000570253.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000562297,ENST00000562297.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000567946,ENST00000567946.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000486339,ENST00000486339.6,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000415938,ENST00000415938.7,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483731,ENST00000483731.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000566905,ENST00000566905.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000496574,ENST00000496574.6,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000566784,ENST00000566784.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000471603,ENST00000471603.6,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000480227,ENST00000480227.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000570193,ENST00000570193.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000469851,ENST00000469851.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483814,ENST00000483814.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000474088,ENST00000474088.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000475889,ENST00000475889.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000561991,ENST00000561991.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000565639,ENST00000565639.6,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564865,ENST00000564865.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564890,ENST00000564890.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483558,ENST00000483558.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000568591,ENST00000568591.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000569983,ENST00000569983.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000483024,ENST00000483024.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000488185,ENST00000488185.2,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000473780,ENST00000473780.2,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000468674,ENST00000468674.5,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000469241,ENST00000469241.2,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000570150,ENST00000570150.1,ENSPPYG00000006987,PKD1,Hominidae,ortholog_one2one,93.2838,94.3361,100,100,1
ENSG00000039139,ENSG00000039139.11,ENST00000265104,ENST00000265104.5,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000681290,ENST00000681290.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000683611,ENST00000683611.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000504001,ENST00000504001.3,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000512443,ENST00000512443.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000683090,ENST00000683090.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000684099,ENST00000684099.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000680213,ENST00000680213.2,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000508040,ENST00000508040.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000684013,ENST00000684013.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000683011,ENST00000683011.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000683967,ENST00000683967.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000682376,ENST00000682376.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000039139,ENSG00000039139.11,ENST00000682586,ENST00000682586.1,ENSPPYG00000015349,,Hominidae,ortholog_one2one,66.4144,98.9369,100,96.41,0
ENSG00000077327,ENSG00000077327.16,ENST00000376624,ENST00000376624.8,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000456231,ENST00000456231.6,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000488555,ENST00000488555.5,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000313311,ENST00000313311.10,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000435326,ENST00000435326.5,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000490361,ENST00000490361.5,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000487973,ENST00000487973.1,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000538630,ENST00000538630.2,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000077327,ENSG00000077327.16,ENST00000376603,ENST00000376603.6,ENSPPYG00000002145,SPAG6,Hominidae,ortholog_one2one,99.6071,99.6071,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000372453,ENST00000372453.8,ENSPPYG00000020611,DNAAF6,Hominidae,ortholog_one2one,98.1308,98.1308,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000673764,ENST00000673764.1,ENSPPYG00000020611,DNAAF6,Hominidae,ortholog_one2one,98.1308,98.1308,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000336387,ENST00000336387.4,ENSPPYG00000020611,DNAAF6,Hominidae,ortholog_one2one,98.1308,98.1308,100,100,1
ENSG00000080572,ENSG00000080572.13,ENST00000535523,ENST00000535523.5,ENSPPYG00000020611,DNAAF6,Hominidae,ortholog_one2one,98.1308,98.1308,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000565794,ENST00000565794.1,ENSPPYG00000007384,ARL2BP,Hominidae,ortholog_one2one,98.1595,98.1595,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000219204,ENST00000219204.8,ENSPPYG00000007384,ARL2BP,Hominidae,ortholog_one2one,98.1595,98.1595,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000562023,ENST00000562023.5,ENSPPYG00000007384,ARL2BP,Hominidae,ortholog_one2one,98.1595,98.1595,100,100,1
ENSG00000102931,ENSG00000102931.8,ENST00000563234,ENST00000563234.1,ENSPPYG00000007384,ARL2BP,Hominidae,ortholog_one2one,98.1595,98.1595,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000601154,ENST00000601154.1,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000221922,ENST00000221922.11,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000643617,ENST00000643617.1,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000599398,ENST00000599398.5,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000595659,ENST00000595659.5,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000596938,ENST00000596938.1,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105321,ENSG00000105321.14,ENST00000600117,ENST00000600117.1,ENSPPYG00000010170,CCDC9,Hominidae,ortholog_one2one,81.5443,98.8584,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000389297,ENST00000389297.8,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000485791,ENST00000485791.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000427396,ENST00000427396.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000451029,ENST00000451029.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000497910,ENST00000497910.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000463311,ENST00000463311.1,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000457170,ENST00000457170.6,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000418199,ENST00000418199.1,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000475031,ENST00000475031.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000449577,ENST00000449577.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000491886,ENST00000491886.1,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000412839,ENST00000412839.5,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000105792,ENSG00000105792.19,ENST00000445156,ENST00000445156.1,ENSPPYG00000017831,CFAP69,Hominidae,ortholog_one2one,97.9809,97.9809,100,100,1
ENSG00000106648,ENSG00000106648.14,ENST00000431418,ENST00000431418.6,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000392800,ENST00000392800.7,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000416062,ENST00000416062.5,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000448366,ENST00000448366.6,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000426341,ENST00000426341.6,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000416269,ENST00000416269.6,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000414073,ENST00000414073.6,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000482845,ENST00000482845.2,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000468278,ENST00000468278.1,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000483959,ENST00000483959.1,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000106648,ENSG00000106648.14,ENST00000616416,ENST00000616416.4,ENSPPYG00000018198,GALNTL5,Hominidae,ortholog_one2one,85.553,95.9494,100,99.68,1
ENSG00000111254,ENSG00000111254.8,ENST00000545990,ENST00000545990.6,ENSPPYG00000004170,AKAP3,Hominidae,ortholog_one2one,97.0692,96.5035,100,100,1
ENSG00000111254,ENSG00000111254.8,ENST00000540967,ENST00000540967.5,ENSPPYG00000004170,AKAP3,Hominidae,ortholog_one2one,97.0692,96.5035,100,100,1
